Retailer,Category,Item,Price (VND),7 ngày change,1 tháng change,6 tháng change,1 năm change,Product URL
MemoryZone,SSD,SSD Biwin Black Opal NV7400 1TB M.2 PCIe Gen4 x4 NVMe BNV740001TB-RGX,3.650.000,,,,,https://memoryzone.com.vn/ssd-biwin-black-opal-nv7400-1tb-m-2-pcie-gen4-x4-nvme-bnv740001tb-rgx
MemoryZone,SSD,SSD Kioxia Exceria Plus G3 1TB M.2 PCIe Gen4 x4 BiCS FLASH LSD10Z001TG8,3.650.000,+0%,,,,https://memoryzone.com.vn/ssd-kioxia-toshiba-exceria-plus-g3-1tb-m-2-pcie-gen4-x4-bics-flash-lsd10z001tg8
MemoryZone,SSD,SSD Lexar Play X 512GB M.2 PCIe Gen4 x4 NVMe LNMPLYX512G-RNNNG,3.900.000,+0%,,,,https://memoryzone.com.vn/ssd-lexar-play-x-512gb-m-2-pcie-gen4-x4-nvme-lnmplyx512g-rnnng
MemoryZone,SSD,SSD Kioxia Exceria Plus G4 1TB M.2 PCIe Gen5 x4 BiCS FLASH LVD10Z001TG8,4.300.000,+0%,,,,https://memoryzone.com.vn/ssd-kioxia-exceria-plus-g4-1tb-m-2-pcie-gen5-x4-bics-flash-lvd10z001tg8
MemoryZone,SSD,SSD Western Digital Blue SA510 1TB 3D-NAND 2.5-Inch SATA III WDS100T3B0A,4.300.000,+0%,,,,https://memoryzone.com.vn/ssd-western-digital-blue-sa510-1tb-3d-nand-2-5-inch-sata-iii-wds100t3b0a
MemoryZone,SSD,SSD WD Black SN7100 1TB PCIe Gen4 x4 NVMe M.2 WDS100T4X0E,4.500.000,+0%,,,,https://memoryzone.com.vn/ssd-wd-black-sn7100-1tb-pcie-gen4-x4-nvme-m-2-wds100t4x0e
MemoryZone,SSD,SSD Acer Predator GM7000 1TB PCIe Gen4 x4 NVMe M.2 GM7000-1TB,4.500.000,+0%,,,,https://memoryzone.com.vn/ssd-acer-predator-gm7000-1tb-pcie-gen4-x4-nvme-m-2-gm7000-1tb
MemoryZone,SSD,SSD Crucial P510 1TB M.2 PCIe Gen5 x4 NVMe CT1000P510SSD8,4.750.000,+0%,,,,https://memoryzone.com.vn/ssd-crucial-p510-1tb-m-2-pcie-gen5-x4-nvme-ct1000p510ssd8
MemoryZone,SSD,SSD Biwin NV7200 2TB M.2 PCIe Gen4 x4 NVMe BNV720002TB-RGX,5.300.000,+0%,,,,https://memoryzone.com.vn/ssd-biwin-nv7200-2tb-m-2-pcie-gen4-x4-nvme-bnv720002tb-rgx
MemoryZone,SSD,SSD Crucial 1TB T705 M.2 PCIe Gen5 x4 NVMe CT1000T705SSD3,5.500.000,+0%,,,,https://memoryzone.com.vn/ssd-crucial-1tb-t705-m-2-pcie-gen5-x4-nvme-ct1000t705ssd3
MemoryZone,SSD,SSD Lexar Play X 1TB M.2 PCIe Gen4 x4 NVMe LNMPLYX001T-RNNNG,5.900.000,+0%,,,,https://memoryzone.com.vn/ssd-lexar-play-x-1tb-m-2-pcie-gen4-x4-nvme-lnmplyx001t-rnnng
MemoryZone,SSD,SSD HP FX900 Plus 2TB M.2 PCIe 4.0 x4 NVMe 7F618AA,5.950.000,+0%,,,,https://memoryzone.com.vn/ssd-hp-fx900-plus-2tb-m-2-pcie-4-0-x4-nvme-7f618aa
MemoryZone,SSD,SSD Samsung 9100 Pro 1TB PCIe Gen5 x4 NVMe MZ-VAP1T0BW,7.450.000,+0%,,,,https://memoryzone.com.vn/ssd-samsung-9100-pro-1tb-pcie-gen5-x4-nvme-mz-vap1t0bw
MemoryZone,SSD,SSD Acer Predator GM7000 2TB PCIe Gen4 x4 NVMe M.2 GM7000-2TB,7.500.000,+0%,,,,https://memoryzone.com.vn/ssd-acer-predator-gm7000-2tb-pcie-gen4-x4-nvme-m-2-gm7000-2tb
MemoryZone,SSD,SSD WD Black SN8100 1TB PCIe Gen5 x4 NVMe M.2 WDS100T1X0M,8.900.000,+0%,,,,https://memoryzone.com.vn/ssd-wd-black-sn8100-1tb-pcie-gen5-x4-nvme-m-2-wds100t1x0m
MemoryZone,Laptop,"Laptop ASUS ExpertBook P1 P1403CVA-C5H16-50W (Core 5 210H, Intel Graphics, RAM 16GB DDR5, SSD 512GB, 14 Inch IPS FHD 60Hz, Win 11 Home)",23.400.000,-6%,,,,https://memoryzone.com.vn/laptop-asus-expertbook-p1-p1403cva-c5h16-50w
MemoryZone,Laptop,"Laptop Lenovo ThinkBook 16 G8 IRL 21SH0097VN (Core 5 210H, Intel Graphics, RAM 16GB DDR5, SDD 512GB, 16 Inch IPS WUXGA 60Hz, Window 11 Home)",25.900.000,+0%,,,,https://memoryzone.com.vn/laptop-lenovo-thinkbook-16-g8-irl-21sh0097vn
MemoryZone,Laptop,"Laptop MSI Cyborg 15 A13UC-2088VN (i5-13420H, RTX 3050 4GB, RAM 16GB D5, SSD 512GB, 15.6 Inch FHD IPS 144Hz)",26.000.000,+0%,,,,https://memoryzone.com.vn/laptop-msi-cyborg-15-a13uc-2088vn
MemoryZone,Laptop,"Laptop Lenovo V14 G5 IRL 83HD0035VN (Core 7 240H, Intel Graphics, RAM 16GB DDR5, 512GB SSD, 14 Inch IPS FHD 60Hz, Win11)",28.500.000,+0%,,,,https://memoryzone.com.vn/laptop-lenovo-v14-g5-irl-83hd0035vn
MemoryZone,Laptop,"Laptop Lenovo ThinkPad E16 Gen 3 21SR00A6VA (Ultra 5 135H, Intel Arc Graphics, RAM 16GB DDR5, SSD 512GB, 16 Inch IPS WUXGA 60Hz, NoOS)",29.900.000,+0%,,,,https://memoryzone.com.vn/laptop-lenovo-thinkpad-e16-gen-3-21sr00a6va
MemoryZone,Laptop,"Laptop Lenovo ThinkPad E14 Gen 7 21SX002SVA (Ultra 7 255H, Arc Graphics, RAM 16GB DDR5, SSD 512GB, 14 Inch IPS WUXGA 60Hz, NoOS)",32.900.000,+0%,,,,https://memoryzone.com.vn/laptop-lenovo-thinkpad-e14-gen-7-21sx002sva
MemoryZone,Laptop,"Laptop MSI Cyborg 15 C13WEO-417VN (i7-13620H, RTX 5050 8GB, RAM 16GB DDR4, SSD 512GB, 15.6 Inch IPS FHD 144Hz 100% sRGB, Win 11 Home)",35.500.000,,,,,https://memoryzone.com.vn/laptop-msi-cyborg-15-c13weo-417vn
MemoryZone,Laptop,"Laptop MSI Cyborg 15 B2RWFKG-047VN (Core 5 210H, RTX 5060 8GB, RAM 16GB D5, SSD 512GB, 15.6 Inch FHD IPS 144Hz)",35.900.000,+0%,,,,https://memoryzone.com.vn/laptop-msi-cyborg-15-b2rwfkg-047vn
MemoryZone,Laptop,"Laptop Asus ExpertBook P5 P5405CSA-NZ0017W (Ultra 7 258V, Intel Arc Graphics, RAM 32GB LPDDR5X, SSD 1TB, 14 Inch WVA WQXGA 144Hz, Win 11 Home)",36.300.000,+0%,,,,https://memoryzone.com.vn/laptop-asus-expertbook-p5-p5405csa-nz0017w
MemoryZone,Laptop,"Laptop MSI Modern 14S AI+ G3MG-050VN (Ultra 7 355, Intel Graphics, RAM 16GB DDR5, SSD 1TB, 14 Inch OLED FHD+ 60Hz 100% DCI-P3, Win 11 Home)",36.500.000,+0%,,,,https://memoryzone.com.vn/laptop-msi-modern-14s-ai-plus-g3mg-050vn
MemoryZone,Laptop,"Laptop Lenovo ThinkPad E14 Gen 7 21U2006FVA (Ultra 7 258V, Intel Arc Graphics, RAM 32GB, SSD 512GB, 14 Inch WUXGA 60Hz, NoOS)",36.500.000,,,,,https://memoryzone.com.vn/laptop-lenovo-thinkpad-e14-gen-7-21u2006fva
MemoryZone,Laptop,"Laptop Lenovo LOQ 15IRX10 83JE01AGVN (i7-13645HX, RTX 5050 8GB, RAM 16GB DDR5, SSD 512GB, 15.6 Inch IPS FHD 144Hz 100% sRGB, Win 11 Home)",36.900.000,,,,,https://memoryzone.com.vn/laptop-lenovo-loq-15irx10-83je01agvn
MemoryZone,Laptop,"Laptop Lenovo ThinkPad E16 Gen 3 21SR002LVA (Ultra 7 255H, Intel Arc Graphics, RAM 16GB DDR5, SSD 512GB, 16 Inch IPS FHD+ 60Hz, NoOS)",36.900.000,+0%,,,,https://memoryzone.com.vn/laptop-lenovo-thinkpad-e16-gen-3-21sr002lva
MemoryZone,Laptop,"Laptop MSI Cyborg 15 B2RWFKG-048VN (Core 7 240H, RTX 5060 8GB, RAM 16GB D5, SSD 512GB, 15.6 Inch FHD IPS 144Hz)",37.900.000,+0%,,,,https://memoryzone.com.vn/laptop-msi-cyborg-15-b2rwfkg-048vn
MemoryZone,HDD,HDD Toshiba S300 Surveillance 2TB 3.5 inch SATA III 128MB Cache 5400RPM HDWT720UZSVA,2.990.000,+4.9%,,,,https://memoryzone.com.vn/hdd-toshiba-s300-surveillance-2tb-3-5-inch-sata-iii-128mb-cache-5400rpm-hdwt720uzsva
MemoryZone,HDD,HDD Toshiba S300 Surveillance 4TB 3.5 inch SATA III 256MB Cache 5400RPM HDWT840UZSVA,4.790.000,,,,,https://memoryzone.com.vn/hdd-toshiba-s300-surveillance-4tb-3-5-inch-sata-iii-256mb-cache-5400rpm-hdwt840uzsva
MemoryZone,HDD,HDD WD Red Plus 4TB 3.5 inch SATA III 128MB Cache 5400RPM WD40EFZZ,5.500.000,+0%,,,,https://memoryzone.com.vn/hdd-wd-red-plus-4tb-3-5-inch-sata-iii-128mb-cache-5400rpm-wd40efzz
MemoryZone,HDD,HDD Synology HAT3300 Plus 4TB 3.5 inch SATA 256MB Cache 5400RPM HAT3300-4T,6.150.000,+0%,,,,https://memoryzone.com.vn/hdd-synology-hat3300-4tb-3-5-inch-sata-256mb-cache-5400rpm-hat3300-4t
MemoryZone,HDD,HDD Toshiba S300 Surveillance 6TB 3.5 inch SATA III 256MB Cache 5400RPM HDWT860UZSVA,6.500.000,,,,,https://memoryzone.com.vn/hdd-toshiba-s300-surveillance-6tb-3-5-inch-sata-iii-256mb-cache-5400rpm-hdwt860uzsva
MemoryZone,HDD,HDD WD Black 4TB 3.5 inch SATA III 256MB Cache 7200RPM WD4006FZBX,6.750.000,+0%,,,,https://memoryzone.com.vn/hdd-wd-black-4tb-3-5-inch-sata-iii-256mb-cache-7200rpm-wd4006fzbx
MemoryZone,HDD,HDD WD Red Plus 6TB 3.5 inch SATA III 256MB Cache 5400RPM WD60EFPX,7.950.000,+0%,,,,https://memoryzone.com.vn/hdd-wd-red-plus-6tb-3-5-inch-sata-iii-256mb-cache-5400rpm-wd60efpx
MemoryZone,HDD,HDD WD Black 6TB 3.5 inch SATA III 256MB Cache 7200RPM WD6004FZBX,8.500.000,+0%,,,,https://memoryzone.com.vn/hdd-wd-black-6tb-3-5-inch-sata-iii-256mb-cache-7200rpm-wd6004fzbx
MemoryZone,HDD,HDD Synology HAT3300 Plus 6TB 3.5 inch SATA 256MB Cache 5400RPM HAT3300-6T,8.900.000,+0%,,,,https://memoryzone.com.vn/hdd-synology-hat3300-6tb-3-5-inch-sata-256mb-cache-5400rpm-hat3300-6t
MemoryZone,HDD,HDD WD Ultrastar DC HA340 6TB 3.5 inch SATA III 256MB Cache 7200RPM WUS721206BLE6L4,8.990.000,+0%,,,,https://memoryzone.com.vn/hdd-wd-ultrastar-dc-ha340-6tb-3-5-inch-sata-iii-256mb-cache-7200rpm-wus721206ble6l4
MemoryZone,HDD,HDD WD Red Plus 8TB 3.5 inch SATA III 256MB Cache 5640RPM WD80EFPX,10.350.000,+0%,,,,https://memoryzone.com.vn/hdd-wd-red-plus-8tb-3-5-inch-sata-iii-256mb-cache-5640rpm-wd80efpx
MemoryZone,HDD,HDD Toshiba S300 Pro Surveillance 8TB 3.5 inch SATA III 512MB Cache 7200RPM MD10ADA800V,10.900.000,,,,,https://memoryzone.com.vn/hdd-toshiba-s300-pro-surveillance-8tb-3-5-inch-sata-iii-512mb-cache-7200rpm-md10ada800v
MemoryZone,HDD,HDD Synology HAT3320 Plus 8TB 3.5 inch SATA 512MB Cache 7200 RPM HAT3320-8T,12.450.000,+0%,,,,https://memoryzone.com.vn/hdd-synology-hat3320-8tb-3-5-inch-sata-512mb-cache-7200-rpm-hat3320-8t
MemoryZone,HDD,HDD WD Ultrastar DC HA340 10TB 3.5 inch SATA III 512MB Cache 7200RPM WUS721210BLE6L4,13.900.000,+0%,,,,https://memoryzone.com.vn/hdd-wd-ultrastar-dc-ha340-10tb-3-5-inch-sata-iii-512mb-cache-7200rpm-wus721210ble6l4
MemoryZone,HDD,HDD Synology HAT3310 Plus 12TB 3.5 inch SATA 512MB Cache 7200 RPM HAT3310-12T,15.300.000,+0%,,,,https://memoryzone.com.vn/hdd-synology-hat3310-12tb-3-5-inch-sata-256mb-cache-7200-rpm-hat3310-12t
MemoryZone,HDD,HDD WD Ultrastar DC HA340 12TB 3.5 inch SATA III 512MB Cache 7200RPM WUS721212BLE6L4,16.390.000,+0%,,,,https://memoryzone.com.vn/hdd-wd-ultrastar-dc-ha340-12tb-3-5-inch-sata-iii-512mb-cache-7200rpm-wus721212ble6l4
MemoryZone,HDD,HDD Synology HAT5320 8TB 3.5 inch SATA 512MB Cache 7200RPM HAT5320-8T,16.900.000,+0%,,,,https://memoryzone.com.vn/hdd-synology-hat5320-8tb-3-5-inch-sata-512mb-cache-7200rpm-hat5320-8t
MemoryZone,HDD,HDD Synology HAT3310 Plus 16TB 3.5 inch SATA 512MB Cache 7200 RPM HAT3310-16T,17.990.000,-1.7%,,,,https://memoryzone.com.vn/hdd-synology-hat3310-16tb-3-5-inch-sata-512mb-cache-7200-rpm-hat3310-16t
MemoryZone,HDD,HDD Synology HAT5300 12TB 3.5 inch SATA 256MB Cache 7200RPM HAT5300-12T,19.750.000,+0%,,,,https://memoryzone.com.vn/hdd-synology-hat5300-12tb-3-5-inch-sata-256mb-cache-7200rpm-hat5300-12t
MemoryZone,HDD,HDD Synology HAT3320 Plus 20TB 3.5 inch SATA 1GB Cache 7200 RPM HAT3320-20T,21.900.000,+0%,,,,https://memoryzone.com.vn/hdd-synology-hat3320-plus-20tb-3-5-inch-sata-1gb-cache-7200-rpm-hat3320-20t
MemoryZone,VGA - Card màn hình,VGA MSI GeForce RTX 3050 VENTUS 2X E 6G OC GDDR6,5.500.000,+0%,,,,https://memoryzone.com.vn/vga-msi-geforce-rtx-3050-ventus-2x-e-6g-oc-gddr6
MemoryZone,VGA - Card màn hình,VGA Asus GeForce RTX 3050 DUAL 6GB OC GDDR6 DUAL-RTX3050-O6G,5.500.000,+0%,,,,https://memoryzone.com.vn/vga-asus-geforce-rtx-3050-dual-6gb-oc-gddr6-dual-rtx3050-o6g
MemoryZone,VGA - Card màn hình,VGA Leadtek NVIDIA Quadro RTX A400 4GB GDDR6,5.590.000,+0%,,,,https://memoryzone.com.vn/vga-leadtek-nvidia-quadro-a400-4gb-gddr6
MemoryZone,VGA - Card màn hình,VGA SPARKLE Intel Arc A750 ROC OC Edition 8GB GDDR6,7.390.000,+0%,,,,https://memoryzone.com.vn/vga-sparkle-intel-arc-a750-roc-oc-edition-8gb-gddr6-a750-roc-8g
MemoryZone,VGA - Card màn hình,VGA MAXSUN Intel ARC B580 Milestone 12G GDDR6,9.690.000,+0%,,,,https://memoryzone.com.vn/vga-maxsun-intel-arc-b580-milestone-12g-gddr6
MemoryZone,VGA - Card màn hình,VGA SPARKLE Intel Arc A770 ROC OC Edition 16GB GDDR6,9.890.000,+0%,,,,https://memoryzone.com.vn/vga-sparkle-intel-arc-a770-roc-oc-edition-16gb-gddr6-a770-roc-16g
MemoryZone,VGA - Card màn hình,VGA MSI GeForce RTX 5060 SHADOW 2X OC 8GB GDDR7,9.900.000,+3.7%,,,,https://memoryzone.com.vn/vga-msi-geforce-rtx-5060-shadow-2x-oc-8gb-gddr7
MemoryZone,VGA - Card màn hình,VGA MAXSUN Intel ARC B580 iCraft 12G GDDR6,10.390.000,+0%,,,,https://memoryzone.com.vn/vga-maxsun-intel-arc-b580-icraft-12g-gddr6
MemoryZone,VGA - Card màn hình,VGA MSI GeForce RTX 5060 VENTUS 2X OC 8GB GDDR7,10.500.000,+8.8%,,,,https://memoryzone.com.vn/vga-msi-geforce-rtx-5060-ventus-2x-oc-8gb-gddr7
MemoryZone,VGA - Card màn hình,VGA Leadtek NVIDIA QUADRO RTX A1000 8GB GDDR6,13.990.000,+0%,,,,https://memoryzone.com.vn/vga-leadtek-nvidia-quadro-rtx-a1000-8gb-gddr6
MemoryZone,VGA - Card màn hình,VGA Sapphire NITRO+ Radeon RX 9060 XT GAMING OC 16GB GDDR6,14.900.000,+0%,,,,https://memoryzone.com.vn/vga-sapphire-nitro-radeon-rx-9060-xt-gaming-oc-16gb-gddr6
MemoryZone,VGA - Card màn hình,VGA Gigabyte GeForce RTX 5060 Ti AERO OC 16GB GDDR7,16.900.000,+0%,,,,https://memoryzone.com.vn/vga-gigabyte-geforce-rtx-5060-ti-aero-oc-16gb-gddr7
MemoryZone,VGA - Card màn hình,VGA ASUS Dual GeForce RTX 5060 Ti OC Edition 16GB GDDR7,16.900.000,+0%,,,,https://memoryzone.com.vn/vga-asus-dual-geforce-rtx-5060-ti-oc-edition-16gb-gddr7
MemoryZone,VGA - Card màn hình,VGA MSI GeForce RTX 5070 SHADOW 2X OC 12GB GDDR7,19.500.000,+3.2%,,,,https://memoryzone.com.vn/vga-msi-geforce-rtx-5070-12gb-shadow-2x-oc-gddr7
MemoryZone,VGA - Card màn hình,VGA ASUS Dual GeForce RTX 5070 OC Edition 12GB GDDR7,19.600.000,+3.4%,,,,https://memoryzone.com.vn/vga-asus-dual-geforce-rtx-5070-oc-edition-12gb-gddr7
MemoryZone,VGA - Card màn hình,VGA Sapphire PURE Radeon RX 9070 XT Gaming OC 16GB GDDR6,24.250.000,+0%,,,,https://memoryzone.com.vn/vga-sapphire-pure-radeon-rx-9070-xt-gaming-oc-16gb-gddr6
MemoryZone,VGA - Card màn hình,VGA Sapphire NITRO+ Radeon RX 9070 XT Gaming OC 16GB GDDR6,25.500.000,+0%,,,,https://memoryzone.com.vn/vga-sapphire-nitro-radeon-rx-9070-xt-gaming-oc-16gb-gddr6
MemoryZone,VGA - Card màn hình,VGA MSI GeForce RTX 5070 Ti 16GB SHADOW 3X OC GDDR7,28.900.000,+3.6%,,,,https://memoryzone.com.vn/vga-msi-geforce-rtx-5070-ti-16gb-shadow-3x-oc-gddr7
MemoryZone,Mainboard,Mainboard MSI PRO H610M-E DDR4,1.600.000,+0%,,,,https://memoryzone.com.vn/mainboard-pc-msi-pro-h610m-e-ddr4
MemoryZone,Mainboard,Mainboard MSI PRO H610M-S WIFI DDR4,2.050.000,+0%,,,,https://memoryzone.com.vn/mainboard-msi-pro-h610m-s-wifi-ddr4
MemoryZone,Mainboard,Mainboard MSI PRO B760M-B DDR4,2.250.000,+0%,,,,https://memoryzone.com.vn/mainboard-msi-b760m-b-ddr4-2
MemoryZone,Mainboard,Mainboard ASUS PRIME H810M-K DDR5,2.450.000,+0%,,,,https://memoryzone.com.vn/mainboard-asus-prime-h810m-k-ddr5
MemoryZone,Mainboard,Mainboard ASRock H810M-H DDR5,2.450.000,+0%,,,,https://memoryzone.com.vn/mainboard-asrock-h810m-h-ddr5
MemoryZone,Mainboard,Mainboard ASUS B760M-AYW WIFI DDR4,2.600.000,+0%,,,,https://memoryzone.com.vn/mainboard-pc-asus-b760m-ayw-wifi-d4
MemoryZone,Mainboard,Mainboard ASUS TUF GAMING B550M-PLUS WIFI II DDR4,2.950.000,+0%,,,,https://memoryzone.com.vn/mainboard-asus-tuf-gaming-b550m-plus-wifi-ii-ddr4
MemoryZone,Mainboard,Mainboard MSI B760M GAMING PLUS WIFI DDR4,3.100.000,+0%,,,,https://memoryzone.com.vn/mainboard-pc-msi-b760m-gaming-plus-wifi-ddr4
MemoryZone,Mainboard,Mainboard MSI PRO B840M-P WIFI6E DDR5,3.200.000,+0%,,,,https://memoryzone.com.vn/mainboard-msi-pro-b840m-p-wifi6e-ddr5
MemoryZone,Mainboard,Mainboard ASUS TUF GAMING B760M-PLUS WIFI DDR4,3.490.000,+0%,,,,https://memoryzone.com.vn/mainboard-pc-asus-tuf-gaming-b760m-plus-wifi-d4
MemoryZone,Mainboard,Mainboard MSI B760M GAMING PLUS WIFI DDR5,3.500.000,+0%,,,,https://memoryzone.com.vn/mainboard-pc-msi-b760m-gaming-plus-wifi
MemoryZone,Mainboard,Mainboard ASRock B650M Pro RS Wifi DDR5,3.600.000,+0%,,,,https://memoryzone.com.vn/mainboard-pc-asrock-b650m-pro-rs-wifi
MemoryZone,Mainboard,Mainboard ASUS TUF GAMING B760M-PLUS WIFI II DDR5,3.890.000,+0%,,,,https://memoryzone.com.vn/mainboard-pc-asus-tuf-gaming-b760m-plus-wifi-ii
MemoryZone,Mainboard,Mainboard MSI B860M GAMING WIFI DDR5,3.950.000,+0%,,,,https://memoryzone.com.vn/mainboard-msi-b860m-gaming-wifi-ddr5
MemoryZone,Mainboard,Mainboard MSI MPG B760I EDGE WIFI DDR5,4.750.000,+0%,,,,https://memoryzone.com.vn/mainboard-msi-mpg-b760i-edge-wifi-ddr5
MemoryZone,Mainboard,Mainboard MSI MAG B760M MORTAR WIFI II DDR5,4.800.000,+0%,,,,https://memoryzone.com.vn/mainboard-pc-msi-mag-b760m-mortar-wifi-ii
MemoryZone,Mainboard,Mainboard MSI PRO Z790-P WIFI DDR5,4.850.000,+0%,,,,https://memoryzone.com.vn/mainboard-msi-pro-z790-p-wifi-ddr5
MemoryZone,Mainboard,Mainboard MSI B860M GAMING PLUS WIFI DDR5,4.850.000,+0%,,,,https://memoryzone.com.vn/mainboard-pc-msi-b860m-gaming-plus-wifi
MemoryZone,PSU - Nguồn máy tính,Nguồn máy tính Gamdias AURA GP550 550W PSAURAGP550GA,590.000,+0%,,,,https://memoryzone.com.vn/nguon-may-tinh-gamdias-aura-gp550-550w-psauragp550ga
MemoryZone,PSU - Nguồn máy tính,Nguồn máy tính MSI MAG A650BNL 650W 80 Plus Bronze MAG-A650BNL,1.150.000,+0%,,,,https://memoryzone.com.vn/nguon-may-tinh-msi-mag-a650bnl-650w-80-plus-bronze-mag-a650bnl
MemoryZone,PSU - Nguồn máy tính,Nguồn máy tính MSI MAG A750BN PCIE5 III 750W 80 Plus Bronze MAG-A750BN-PCIE5-III,1.390.000,+0%,,,,https://memoryzone.com.vn/nguon-may-tinh-msi-mag-a750bn-pcie5-iii-750w-80-plus-bronze-mag-a750bn-pcie5-iii
MemoryZone,PSU - Nguồn máy tính,Nguồn máy tính Corsair CX750 750W 80 Plus Bronze CP-9020279-NA,1.490.000,+0%,,,,https://memoryzone.com.vn/nguon-may-tinh-corsair-cx750-750w-80-plus-bronze-cp-9020279-na
MemoryZone,PSU - Nguồn máy tính,Nguồn máy tính MSI MAG A850GN ATX 3.1 PCIe 5.1 850W 80 Plus Gold MAG-A850GN-PCIE5,1.900.000,+0%,,,,https://memoryzone.com.vn/nguon-may-tinh-msi-mag-a850gn-atx-3-1-pcie-5-1-850w-80-plus-gold
MemoryZone,PSU - Nguồn máy tính,Nguồn máy tính Corsair RM850e ATX 3.1 850W Cybenetics Gold CP-9020296-NA,2.660.000,+0%,,,,https://memoryzone.com.vn/nguon-may-tinh-corsair-rm850e-atx-3-1-850w-cybenetics-gold-cp-9020296-na
MemoryZone,PSU - Nguồn máy tính,Nguồn máy tính Corsair RM850e White ATX 3.1 850W Cybenetics Gold CP-9020293-NA,2.850.000,+0%,,,,https://memoryzone.com.vn/nguon-may-tinh-corsair-rm850e-white-atx-3-1-850w-cybenetics-gold-cp-9020293-na
MemoryZone,PSU - Nguồn máy tính,Nguồn máy tính SuperFlower ZILLION SFX 750W ATX 3.1 80 Plus Gold SF-750Z92SFG,3.300.000,+0%,,,,https://memoryzone.com.vn/nguon-may-tinh-superflower-zillion-sfx-750w-atx-3-1-80-plus-gold-sf-750z92sfg
MemoryZone,PSU - Nguồn máy tính,Nguồn máy tính MSI MAG A1000GL PCIE5 1000W 80 Plus Gold MAG-A1000GL-PCIE5,3.350.000,+0%,,,,https://memoryzone.com.vn/nguon-may-tinh-msi-mag-a1000gl-pcie5-1000w-80-plus-gold-mag-a1000gl-pcie5
MemoryZone,PSU - Nguồn máy tính,Nguồn máy tính SuperFlower ZILLION SFX 850W ATX 3.1 80 Plus Gold SF-850Z92SFG,3.590.000,+0%,,,,https://memoryzone.com.vn/nguon-may-tinh-superflower-zillion-sfx-850w-atx-3-1-80-plus-gold-sf-850z92sfg
MemoryZone,PSU - Nguồn máy tính,Nguồn máy tính Corsair RM1000e 1000W ATX 3.1 Cybenetics Gold CP-9020297-NA,3.690.000,+0%,,,,https://memoryzone.com.vn/nguon-may-tinh-corsair-rm1000e-atx-3-1-cybenetics-gold-cp-9020297-na
MemoryZone,PSU - Nguồn máy tính,Nguồn máy tính SuperFlower Leadex VII XG 1000W ATX3.1 80 Plus Gold SF-1000F14XG,4.050.000,+0%,,,,https://memoryzone.com.vn/nguon-may-tinh-superflower-leadex-vii-xg-1000w-atx3-1-80-plus-gold-sf-1000f14xg
